,review
0,"View Vidushi Bindroo's profile on LinkedIn, the world's largest professional community"
1,Vidushi has 1 job listed on their profile
2,See the complete profile on 
3,
4,
5,
6,"View Vidushi Bindroo's profile on LinkedIn, the world's largest professional community"
7,Vidushi has 1 job listed on their profile
8,See the complete profile on 
9,
10,
11,
12,"07-Sep-2019 · 1129 Followers, 1112 Following, 146 Posts - See Instagram photos and videos from Vidushi Bindroo (@vidushibindroo)"
13,"07-Sep-2019 · 1129 Followers, 1112 Following, 146 Posts - See Instagram photos and videos from Vidushi Bindroo (@vidushibindroo)"
14,"See what Vidushi Bindroo (bindroomuskan7) has discovered on Pinterest, the world's biggest collection of ideas"
15,
16,"See what Vidushi Bindroo (bindroomuskan7) has discovered on Pinterest, the world's biggest collection of ideas"
17,
18,2019 Kaggle Inc
19,Our Team Terms Privacy Contact/Support
20,
21,2019 Kaggle Inc
22,Our Team Terms Privacy Contact/Support
23,
24,Vidushi's till date activity stats
25,Exam Category
26,NTSE / NSEJS
27,Challenge Zone
28,0 Played
29,0 Won
30,Quiz Zone
31,1 Played
32,0 Won
33,Group(s)
34,0 · Friend(s)
35,0
36,
37,Vidushi's till date activity stats
38,Exam Category
39,NTSE / NSEJS
40,Challenge Zone
41,0 Played
42,0 Won
43,Quiz Zone
44,1 Played
45,0 Won
46,Group(s)
47,0 · Friend(s)
48,0
49,
50,Change Photo
51,close
52,loading
53,City: Jammu
54,Vidushi Bindroo
55,Stats · Friends · Tests
56,Profile
57,loading
58,TCY Analytics (View Subscription Plans)
59,loading
60,Feedback 
61,
62,
63,
64,Change Photo
65,close
66,loading
67,City: Jammu
68,Vidushi Bindroo
69,Stats · Friends · Tests
70,Profile
71,loading
72,TCY Analytics (View Subscription Plans)
73,loading
74,Feedback 
75,
76,
77,
78,Vidushi Bindroo (IITU17115) Sanchit Gupta (IITU17147) Akash Gupta (IITU17224 ) Vineet Sharma (17mi514) Dev Tyagi (IIITU 17317) Vishal Parmar (17mi535)
79,Vidushi Bindroo (IITU17115) Sanchit Gupta (IITU17147) Akash Gupta (IITU17224 ) Vineet Sharma (17mi514) Dev Tyagi (IIITU 17317) Vishal Parmar (17mi535)
80,25-Jun-2017 ·
81,
82,
83,"Suhasini Malla, Sukanya Wattal, Nitin Pandita, Akash Raina, Bhvika Zutshi, Ritika Koul, Prateek Labroo, Sahil Koul, Vidushi Bindroo, Diksha "
84,
85,
86,
87,25-Jun-2017 ·
88,
89,
90,"Suhasini Malla, Sukanya Wattal, Nitin Pandita, Akash Raina, Bhvika Zutshi, Ritika Koul, Prateek Labroo, Sahil Koul, Vidushi Bindroo, Diksha "
91,
92,
93,
94,Reduces the communication gap between student and teachers
95,Provide Information to new comers in NITH
96,It solves the problem of downloading older data in 
97,
98,
99,
100,Reduces the communication gap between student and teachers
101,Provide Information to new comers in NITH
102,It solves the problem of downloading older data in 
103,
104,
105,
